t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,x,y,name
0.059434152,0.059363406,0.058693846,0.059550829,0.061273354,0.064616384,0.063523509,0.052149446,0.038372242,0.028491365,0.016978698,0.017099184,0.011390833,0.0124789,0.013362568,0.02136869,0.031957987,0.046765055,0.068172601,0.068870405,0.066893075,0.065077364,0.062723611,0.055113089,500,30,Substation
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,500,80,Bus1
0.995371887,0.995374751,0.995427163,0.995360414,0.995226195,0.994967493,0.99505743,0.995616187,0.996423998,0.996905257,0.997624105,0.997499466,0.997896204,0.99786375,0.997844315,0.997370041,0.996816613,0.995991768,0.994674048,0.994652126,0.994806136,0.994944408,0.995122406,0.995718445,500,100,Bus2
0.977721162,0.977864237,0.97811455,0.977778299,0.977253105,0.975294172,0.974883304,0.977669856,0.98119084,0.982134445,0.985606502,0.985255392,0.987259394,0.987164282,0.987134589,0.984910992,0.982183175,0.978966246,0.97261072,0.972611555,0.973348204,0.974562164,0.976372624,0.979602745,500,140,Bus3
0.97014059,0.970253424,0.970579328,0.970128854,0.969374193,0.96716524,0.967604458,0.97269696,0.978568362,0.981302941,0.986292129,0.986335336,0.9887559,0.988226367,0.987853114,0.984426485,0.979632298,0.974245412,0.964433901,0.96436425,0.965338822,0.966233019,0.968441864,0.973099314,500,160,Bus4
0.962504276,0.962574537,0.962977284,0.962411398,0.961424838,0.95898076,0.960355047,0.967883483,0.976193266,0.980774885,0.987325037,0.987766505,0.990611194,0.98963281,0.988902766,0.984232739,0.977308519,0.9697031,0.956298837,0.956143293,0.957356313,0.957891586,0.96048525,0.966609923,500,180,Bus5
0.942933509,0.942885682,0.94348648,0.94262359,0.941039965,0.938000693,0.941808062,0.954542663,0.968226064,0.976601833,0.986548559,0.987661283,0.991426652,0.9894736,0.987993167,0.980638963,0.969135911,0.956896921,0.935401903,0.935130593,0.936954476,0.93654139,0.940111076,0.950023726,500,200,Bus6
0.938839673,0.938938813,0.939576508,0.938647957,0.936931163,0.937054562,0.940791197,0.949955795,0.964387826,0.973559268,0.984007827,0.985496684,0.989448641,0.987397893,0.985845808,0.978164375,0.965876862,0.952303699,0.934266355,0.933929863,0.935800708,0.935445864,0.939124689,0.94572341,500,220,Bus7
0.925641832,0.926211372,0.926967975,0.925828057,0.923682759,0.922597543,0.924653886,0.939331446,0.959297223,0.974272049,0.988301578,0.992177349,0.997244002,0.994324569,0.992006168,0.981628038,0.96382765,0.94227225,0.916342564,0.918208412,0.917844754,0.918534449,0.923822991,0.931875358,500,240,Bus8
0.920118374,0.920886346,0.921693387,0.920463774,0.918136025,0.916538727,0.917913299,0.936099409,0.95927795,0.977576804,0.993632202,0.998817898,1.004484344,1.001054232,0.998271653,0.986324952,0.965409302,0.939465388,0.911774872,0.913374232,0.913049112,0.912388145,0.917409167,0.92608378,500,260,Bus9
